127.0.0.1 - - [14/Apr/2020:08:40:44 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:40:45 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:41:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:43:12 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:44:26 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:45:56 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:45:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:46:52 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:14 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:43 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:25 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:46 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:21 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:52:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:09:00:07 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [14/Apr/2020:09:03:33 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [14/Apr/2020:09:03:43 +0900] "GET /ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:09:03:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:09:04:03 +0900] "GET /ex0414/ex01.html HTTP/1.1" 200 925
